UniqueCount	AmbigCount
2	52
0	6
0	774
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	74
0	1
0	8
0	12
0	2
0	42
64	63
0	54
0	20
0	3
39	9
0	7
0	79
2	36
1	0
12	60
0	0
0	0
0	7
0	1145
0	229
1	236
0	218
0	226
0	203
33	45
0	2
0	107
0	0
0	0
0	0
0	0
0	4
0	0
0	2
0	11
1	10
0	2
0	5
5	2
0	127
0	78
0	72
0	63
0	57
0	41
0	36
0	47
0	54
6	6
0	8
1	4
1	3
1	11
0	37
2	5
0	0
0	1
0	54
0	93
0	0
0	0
0	2
0	0
0	7
2	19
0	3
0	1
0	17
0	2
0	0
0	5
0	12
0	2
0	5
0	0
0	0
3	3920
30	31656
15	211678
0	56
0	15462
0	23
97	35925
1	29957
0	0
0	58
16	734
0	7
0	0
0	0
0	13
0	14
0	14
0	14
0	13
0	14
0	11
0	12
0	11
0	15
0	11
0	12
0	12
0	13
0	11
0	9
2	2
0	4
0	4
0	5
0	0
0	0
0	0
0	1
0	2
0	1
0	1
0	0
0	1
3	9
0	2
2	2
0	0
1	3
0	3
0	0
0	4
0	4
46	182
4	30
0	185
4	27
0	179
0	19
0	178
1	39
0	62
0	22
0	24
0	2
0	22
0	71
0	113
0	12
0	19
0	57
0	1
1	52
1	1
0	5
0	5
0	1
1	6
15	16
0	2
14	2
0	18
0	4
0	13
0	3
0	0
1	0
40	8
0	7
116	59
0	43
0	16
87	58
1	20
0	1110
0	1025
0	949
0	1005
0	1081
1	1066
0	1040
0	1109
0	975
10	1084
36	630
18	10
3	243
19	66
8	95
278	2375
4	978
22	2241
0	0
10	601
12	74
64	215
1	221
18	55
7	65
27	2
8	100
0	87
5	89
0	16
0	18
0	23
0	23
0	23
22	0
25	206
24	195
23	166
7	93
2	784
0	619
433	783
0	0
3	0
17	8760
0	8290
0	7550
0	8020
0	302
3	434
9	269
2	41
7	291
80	1785
0	84
8	55
6	55
0	54
9	0
7	50
1	35
14	0
0	0
1	318
2	309
0	340
0	340
25	273
0	319
6	329
0	71
0	234
0	126
1	82
0	87
3	43
1	27
4	24
0	27
0	12
0	17
0	7
5	6
0	0
0	0
0	0
0	0
3	0
0	7
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	2964
7	2737
0	2737
0	2523
35	1528
4	1173
2	741
0	735
839	0
2	2
1	1
0	3
1	2
1	1
3	3
3	614
0	656
0	624
3	381
0	442
0	331
0	363
0	91
0	357
8	255
0	92
0	102
0	164
0	142
3	155
0	6
0	64
0	73
1	125
16	5
0	0
6	0
1	67
0	53
5	66
0	66
1	4
0	65
1	1
2	19
12	459
29	486
7	352
0	317
0	16
0	46
1	62
3	9
35	84
1	41
9	18
0	21
0	0
0	0
36	238
7	106
1	30
0	164
0	98
0	637
0	668
0	815
0	1059
0	1061
0	198
0	914
0	1145
0	815
33	749
7	453
1	757
0	1060
0	867
0	749
0	972
0	985
0	360
0	195
5	142
0	836
0	223
1	311
0	292
1	201
0	209
0	336
1	40
2	98
0	387
0	256
0	208
1	293
0	256
0	254
0	10
3	4
0	158
0	285
0	216
1	103
0	167
2	156
0	108
0	105
0	117
0	91
0	9
0	6
0	1
0	0
9	0
3	125
174	166
0	48
20	0
0	1501
85	1490
0	1055
0	276
0	354
2	183
4	108
20	144
0	0
0	29
2	37
0	44
0	33
3	44
0	19
0	16
5	7
0	0
1	0
4	1512
227	1440
10	1431
57	1522
21	240
4	84
1	0
0	1160
9	1640
5	1247
3	796
0	2236
0	1417
0	950
3	1951
0	1774
0	835
4	1199
0	307
5	346
0	285
8	362
0	655
15	75
4	300
2	31
0	108
0	305
2	276
0	281
0	305
0	20
0	13
1	274
5	271
0	103
150	1316
4	505
21	1020
30	65
14	812
1	409
0	3
32	107
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
0	95
15	409
73	503
0	34
1	59
0	0
2	0
0	313
0	161
0	207
0	60
1	91
2	90
2	2
0	1
1	917
4	733
0	856
0	692
0	743
1	13
0	119
3	200
0	3
0	3
4	0
415	1648
1	1119
0	540
45	243
0	2
7	55
0	0
208	0
4	0
51	4
0	315
0	328
0	293
0	325
10	317
0	307
0	303
11	37
0	32
5	318
2	45
0	279
0	47
3	16
0	39
0	311
0	201
0	22
0	285
1	271
2	13
6	10
1	256
0	29
0	11
0	12
8	49
0	106
0	104
0	56
0	18
1	16
0	0
0	2
1	1
3	2
0	2
0	1
0	1
0	1
2	0
0	1
26	1723
0	1600
0	1385
0	1385
0	1384
0	1419
0	1555
0	1320
0	273
1	47
0	229
14	1370
0	1357
9	555
10	227
8	6
1	11
0	2
17	1340
0	1218
0	298
1	1018
0	1157
0	925
0	1046
0	1161
0	1245
0	1152
10	42
1	160
0	83
0	21
3	272
0	81
0	64
1	170
3	232
2	112
1	25
0	2
1	1
27	1007
3	3
0	158
4	1
0	12
0	228
0	239
54	806
0	23
0	231
0	142
17	1168
1	1105
0	1008
2	560
7	14
0	240
1	131
0	82
5	216
6	105
1	71
0	149
3	206
4	201
2	191
3	133
0	0
1	5858
94	6419
0	6944
15	1262
1	2412
4	1022
5	1531
2	931
0	3
1	458
3	0
0	3
0	3
3	2
0	1
0	9
0	12
0	4
0	5
3	4
2	1
0	1
0	2
0	0
0	0
0	0
4	16
0	1
0	0
0	16
0	0
0	0
0	0
0	6
0	10
0	6
0	9
0	9
0	8
1	5
0	7
0	7
0	6
0	0
0	7
0	4
0	2
1	13
0	0
0	0
0	0
0	1
0	0
0	0
10	371
1	57
1	30
0	12
0	12
1	18
0	302
0	14
0	235
0	32
0	50
0	37
0	46
0	37
0	41
0	54
0	43
0	26
0	16
0	33
0	3
0	276
0	39
0	174
1	214
0	27
6	17
15	0
2	0
10	260
21	272
6	397
0	449
0	279
46	223
0	181
0	342
2	256
6	261
4	246
0	143
0	269
0	10
11	0
0	0
838	38
0	0
0	9
8	29
0	16
10	19
4	123
1	99
5	113
0	12
25	35
2	26
18	39
0	47
18	13
0	13
1	8
0	0
31	0
0	0
1	0
25	1845
0	489
0	2168
1	671
3	157
5	1306
7	576
119	903
3	325
7	844
0	866
0	570
0	591
2	198
8	61
3	32
0	22
1	17
0	4
3	9
0	9
0	9
0	5
1	5
0	3
0	2
0	0
0	0
0	347
0	296
0	236
1	65
1	18
1	13
2	5
0	42
0	97
4	29
0	0
2	22
0	0
1	15
0	15
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	1
0	1
0	0
0	1
0	0
0	1
0	0
0	0
0	138
0	155
0	567
0	572
0	611
0	579
0	253
0	614
0	179
0	91
0	66
5	77
1	530
2	52
4	468
0	70
0	70
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
8	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	10
0	0
0	13
2	14
0	10
0	9
0	0
0	10
0	3
0	1
0	0
0	0
0	0
0	0
0	0
0	0
38	135
0	135
0	133
0	23
2	15
0	21
4	105
1	0
97	276
25	235
0	36
2	199
0	24
1	26
4	7
0	0
0	0
76	469
0	469
44	414
47	414
70	28
5	226
0	71
0	35
0	16
0	181
0	164
3	65
0	20
0	18
0	4
0	18
0	18
0	2
0	2
0	2
0	4
0	20
0	2
0	0
0	4
0	2
0	0
0	0
1	112
0	18
0	256
0	231
0	268
1	463
0	172
0	11
0	302
0	4
0	340
8	369
0	402
0	381
0	209
0	286
0	274
0	254
0	247
1	323
0	267
0	44
1	105
0	17
0	235
0	202
3	28
0	219
0	13
0	0
1	23
0	0
0	0
1	11
0	9
0	10
0	3
976	169
2	169
0	48
0	0
9	0
1	580
1	671
0	686
0	671
0	627
0	672
0	672
0	638
0	634
0	652
0	614
0	650
0	638
1	563
0	604
0	611
0	35
0	438
0	193
1	421
0	47
0	32
0	249
0	167
2	97
4	77
0	23
1	147
1	149
0	137
0	142
1	142
0	151
0	137
0	130
1	2
0	26
7	454
50	433
14	483
0	0
0	0
4	6
2	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	41
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	26
0	26
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	73
4	68
2	292
4	333
1	313
0	285
0	13
0	25
7	17
0	174
4	25
0	48
0	50
0	571
0	584
1	564
0	15
0	8
0	8
1	22
0	0
0	51
0	20
0	42
0	571
1	91
0	3
0	160
0	525
0	49
0	311
0	600
0	70
0	539
0	101
0	55
0	196
0	568
0	45
0	68
3	565
0	53
0	3
0	571
0	557
0	171
0	196
0	29
2	0
0	512
0	29
0	227
1	398
0	14
0	0
0	60
0	429
0	401
0	430
25	43
0	2
0	31
0	19
0	36
0	1
1	4395
3614	7228
116	6998
6	6875
0	6087
6	5655
0	4404
0	4395
4	0
78	27
63	416
0	35
38	44
31	349
1	4
1	0
0	73
17	30
944	2262
0	32
46	2229
3	1155
17	22
8	11
0	18
0	0
58	0
0	1518
0	1330
0	1323
28	1323
1	1367
0	1367
0	1577
0	1579
0	814
0	0
0	6
1	27
0	10
0	4
20	24
0	7
0	5
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	11
0	16
0	20
7	27
0	14
0	14
0	14
0	10
0	9
0	7
0	8
0	13
0	6
0	14
0	10
1	0
0	7
0	5
0	3
0	5
0	2
1	74
2	106
0	109
0	109
0	109
0	99
0	109
1	109
0	109
0	104
0	109
0	109
0	109
0	109
0	108
0	77
0	94
2	25
0	6
0	20
0	8
0	7
0	0
0	8
0	8
0	7
0	7
0	5
0	0
353	168
1	41
3	22
0	9
0	29
0	0
1	0
0	0
0	0
0	0
0	0
6	202
0	89
10	82
0	52
25	101
6	49
0	64
0	23
0	581
11	597
0	93
0	76
0	70
0	32
348	71
0	71
42	195
1	0
5	166
7	590
0	75
0	91
13	90
0	27
7	818
0	500
25	1432
2	909
0	173
4	308
0	277
0	71
0	230
0	193
0	134
2	3
0	0
0	0
0	0
0	0
0	0
1	23
1	0
1	132
49	166
0	228
0	213
0	139
4	67
0	150
1	97
0	80
0	97
1	70
0	4
3	15
0	24
0	11
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1119	358
49	358
2	111
0	0
3	19
0	76
0	78
0	78
1	73
0	4
0	2
1	2
0	5
1	2
0	9
0	0
0	0
0	86
0	86
0	3
0	4
0	19
0	0
0	3109
110	780
0	4058
5	2554
157	4008
3	1787
3	3830
0	3462
15	1600
2	1863
0	0
11	0
6	12
1	0
0	213
1200	1315
41	998
0	800
5	538
4	0
0	5
0	0
0	1
0	1
0	0
0	0
0	0
0	0
6	137
0	137
0	103
0	37
0	0
0	1148
3	1148
0	970
0	24
0	392
0	601
0	34
9	478
0	30
0	78
0	11
0	7
0	7
0	50
1	222
5	220
0	3
0	13
0	5
16	28
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
1	0
0	0
0	72289
75	54457
1	65280
0	67514
24	57211
0	17745
0	19403
2	16024
2	15868
5	11781
5	8888
1	6128
6	6229
10	12923
71	13295
4	2
0	0
3	0
0	0
0	21
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	23
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
297	43
7	2
0	21
353	11
3	6
0	2
0	4
0	0
0	5
1	7
0	7
2	7
0	3
0	4
600	882
3	868
1	363
466	513
0	322
0	513
0	389
0	0
0	1
0	1
0	1
0	0
0	0
120	106
2	0
10	204
149	99
0	176
1	0
0	14
7	384
0	372
0	363
2	2
0	207
0	215
1	20
0	17
0	0
0	0
58	0
18	3484
0	3212
2	1132
49	2896
1	3545
0	168
0	0
0	1
0	0
92	123
43	121
1	85
0	70
0	3
0	0
4	112
321	463
0	419
12	400
0	36
1	0
1	51
0	97
40	130
0	14
0	6
3	0
0	0
0	0
0	4
3	41
21	40
22	845
0	940
0	940
1	89
1	18
0	82
2	83
0	41
0	114
0	21
0	0
0	0
0	0
41	967
45	440
0	673
0	964
0	430
0	753
3	747
0	744
0	0
0	31
0	34
0	34
0	141
0	13
0	0
0	8
0	9
0	0
2	3
3	25
0	0
2	6
0	6
0	5
12	12088
75	163
7259	31095
22	4854
0	9678
39	7979
39	11218
12	2503
2	11832
9	2485
3	24
2	199
1	129
3	280
1	134
0	23
6	351
0	23
47	226
0	161
1	155
5	27
707	452
2	217
36	384
0	18
6	66
244	69
0	69
0	0
1	0
0	0
28	100
0	3
0	0
0	99
0	1
3	67
0	16
0	17
0	0
9	32
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	798
0	3159
0	1327
3	1637
3	2349
0	699
0	1165
2	1306
6	4056
1	1043
0	2377
0	1400
0	625
0	1142
0	1311
0	1393
0	927
0	1400
2	215
0	754
0	618
0	638
0	409
0	238
0	17
0	550
0	400
0	143
0	91
0	14
0	398
0	13
0	1656
0	176
0	6
0	15
0	14
14	0
0	0
1	0
0	0
8	9
0	9
2	265
447	735
0	96
0	133
3	451
0	192
0	1654
54	1756
16	549
0	60
1	161
0	202
1	42
0	13
7	3
4	108
1	246
4	17
2	3
3	1
7	755
1069	847
0	147
1	128
1	132
7	92
0	16
0	0
0	0
0	0
0	0
0	0
0	0
0	0
332	115
1	94
0	33
13	20
1	0
0	0
0	0
2	0
0	0
0	0
0	0
0	7
1	3
0	161
30	166
0	48
0	43
0	11
0	0
0	423
0	126
0	458
4	474
7	207
0	182
0	438
0	94
7	74
65	151
1	70
0	116
0	593
5	593
0	387
0	401
0	387
1	213
35	272
5	258
1	92
10	12
3	778
12	480
7	464
9	34
12	1119
1	599
0	1047
1	717
0	472
1	559
0	466
0	576
0	301
5	156
0	15
0	3
0	15
0	10
0	9
0	30
0	26
0	3
0	499
0	480
0	476
0	494
0	189
0	174
0	196
0	188
0	157
0	135
0	103
0	41
0	37
0	28
0	27
15	18
0	20
0	12
5	0
0	632
0	659
0	50
15	333
0	293
1	82
1	85
2	104
7	35
5	23
0	2
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	9
0	9
0	9
1	1
1	9
2	10
0	1
0	0
179	1328
0	1280
14	1198
1	810
14	368
920	2242
0	638
0	677
2	225
0	419
0	177
2	933
3	0
0	1928
0	1928
0	1938
2	678
3	1967
0	1143
0	169
0	106
0	144
0	1917
0	1954
0	1851
4	395
0	1766
0	1786
0	1913
0	46
0	1921
0	33
0	132
0	1942
0	1907
0	1918
0	1942
0	1941
0	2009
0	125
0	1808
0	147
1	1578
14	1482
0	1007
0	880
0	0
